radius,type,value
0.14,STO-2G,0.5274093803739919
0.14,STO-3G,0.6067340797289563
0.14,STO-4G,0.6434730111046599
0.14,STO-5G,0.6567116304778219
0.14,STO-6G,0.657746250506465
0.14,GTO,0.3665670045495806
0.15,STO,0.6468131158010207
0.15,STO-2G,0.5259133510820075
0.15,STO-3G,0.6036555546756199
0.15,STO-4G,0.6384192298438076
0.15,STO-5G,0.6496664666075698
0.15,STO-6G,0.6493796020686374
0.15,GTO,0.3661244077020164
0.16,STO,0.6388421552547875
0.16,STO-2G,0.5243200423747552
0.16,STO-3G,0.6003936648018315
0.16,STO-4G,0.6331182757452093
0.16,STO-5G,0.6424091507827584
0.16,STO-6G,0.6409918652289269
0.16,GTO,0.3656518778668125
0.17,STO,0.6309694243369854
0.17,STO-2G,0.5226306064427916
0.17,STO-3G,0.5969538620488931
0.17,STO-4G,0.6275877125395645
0.17,STO-5G,0.63497904598009
0.17,STO-6G,0.6326338534628252
0.17,GTO,0.36514953236455383
0.18,STO,0.6231937125209981
0.18,STO-2G,0.5208462612963813
0.18,STO-3G,0.5933418456125412
0.18,STO-4G,0.6218454449188503
0.18,STO-5G,0.6274140802726663
0.18,STO-6G,0.6243478329582447
0.18,GTO,0.36461749580692704
0.19,STO,0.6155138241980568
0.19,STO-2G,0.5189682892269033
0.19,STO-3G,0.589563544210794
0.19,STO-4G,0.615909603058014
0.19,STO-5G,0.6197503643309263
0.19,STO-6G,0.6161675899773547
0.19,GTO,0.36405590004520466
0.2,STO,0.6079285784934023
0.2,STO-2G,0.516998035192193
0.2,STO-3G,0.5856250978073564
0.2,STO-4G,0.6097984287847635
0.2,STO-5G,0.6120218631374166
0.2,STO-6G,0.6081187745102662
0.2,GTO,0.3634648841157884
0.21,STO,0.6004368090847108
0.21,STO-2G,0.5149369051286918
0.21,STO-3G,0.5815328388711857
0.21,STO-4G,0.6035301644172589
0.21,STO-5G,0.6042601251480242
0.21,STO-6G,0.6002194726315485
0.21,GTO,0.3628445941828434
0.22,STO,0.5930373640227575
0.22,STO-2G,0.5127863641933964
0.22,STO-3G,0.5772932732540059
0.22,STO-4G,0.5971229452305068
0.22,STO-5G,0.5964940705834981
0.22,STO-6G,0.5924809551235539
0.22,GTO,0.3621951834780559
0.23,STO,0.5857291055542916
0.23,STO-2G,0.5105479349387121
0.23,STO-3G,0.5729130607683083
0.23,STO-4G,0.5905946964428916
0.23,STO-5G,0.5887498390384261
0.23,STO-6G,0.58490854845878
0.23,GTO,0.36151681223754983
0.24,STO,0.5785109099470924
0.24,STO-2G,0.5082231954234269
0.24,STO-3G,0.5683989955486434
0.24,STO-4G,0.5839630355358396
0.24,STO-5G,0.5810506951920318
0.24,STO-6G,0.5775025757988931
0.24,GTO,0.36080964763599876
0.25,STO,0.571381667317182
0.25,STO-2G,0.5058137772631109
0.25,STO-3G,0.5637579862788413
0.25,STO-4G,0.5772451806335063
0.25,STO-5G,0.5734169901321281
0.25,STO-6G,0.5702593197766747
0.25,GTO,0.36007386371797034
0.26,STO,0.5643402814581677
0.26,STO-2G,0.5033213636233496
0.26,STO-3G,0.5589970363671752
0.26,STO-4G,0.570457865577074
0.26,STO-5G,0.5658661746893697
0.26,STO-6G,0.5631719648855085
0.26,GTO,0.3593096413265428
0.27,STO,0.5573856696726871
0.27,STO-2G,0.5007476871592904
0.27,STO-3G,0.5541232241504239
0.27,STO-4G,0.5636172622312698
0.27,STO-5G,0.5584128602452871
0.27,STO-6G,0.5562314846720646
0.27,GTO,0.358517168029236
0.28,STO,0.5505167626059301
0.28,STO-2G,0.4980945279050708
0.28,STO-3G,0.549143683206315
0.28,STO-4G,0.556738910460605
0.28,STO-5G,0.5510689217385445
0.28,STO-6G,0.5494274469829573
0.28,GTO,0.3576966380412969
0.29,STO,0.5437325040812129
0.29,STO-2G,0.4953637111167525
0.29,STO-3G,0.5440655828519436
0.29,STO-4G,0.5498376561111228
0.29,STO-5G,0.5438436370559062
0.29,STO-6G,0.5427487186785458
0.29,GTO,0.3568482521463861
0.3,STO,0.5370318509375787
0.3,STO-2G,0.49255710507245465
0.3,STO-3G,0.5388961089034882
0.3,STO-4G,0.5429275972316353
0.3,STO-5G,0.5367438566568622
0.3,STO-6G,0.5361840590046283
0.3,GTO,0.35597221761470843
0.31,STO,0.5304137728693984
0.31,STO-2G,0.48967661883342656
0.31,STO-3G,0.5336424447699084
0.31,STO-4G,0.536022038667954
0.31,STO-5G,0.5297741971364512
0.31,STO-6G,0.529722597819292
0.31,GTO,0.3550687481186359
0.32,STO,0.5238772522679495
0.32,STO-2G,0.48672419996984556
0.32,STO-3G,0.5283117529503247
0.32,STO-4G,0.5291334550658439
0.32,STO-5G,0.5229372524665363
0.32,STO-6G,0.5233542008366027
0.32,GTO,0.3541380636458709
0.33,STO,0.5174212840649461
0.33,STO-2G,0.4837018322551606
0.33,STO-3G,0.5229111570014753
0.33,STO-4G,0.5222734622246238
0.33,STO-5G,0.5162338168538377
0.33,STO-6G,0.5170697288145637
0.33,GTO,0.3531803904101976
0.34,STO,0.5110448755779979
0.34,STO-2G,0.4806115333328299
0.34,STO-3G,0.5174477240380525
0.34,STO-4G,0.5154527966546062
0.34,STO-5G,0.5096631134920041
0.34,STO-6G,0.5108612011299417
0.34,GTO,0.3521959607598746
0.35000000000000003,STO,0.5047470463579732
0.35000000000000003,STO-2G,0.4774553523593198
0.35000000000000003,STO-3G,0.5119284478248585
0.35000000000000003,STO-4G,0.5086813031089711
0.35000000000000003,STO-5G,0.5032230239408565
0.35000000000000003,STO-6G,0.5047218764844025
0.35000000000000003,GTO,0.35118501308371836
0.36,STO,0.49852682803824316
0.36,STO-2G,0.4742353676272417
0.36,STO-3G,0.5063602325156217
0.36,STO-4G,0.5019679297850177
0.36,STO-5G,0.49691031341330755
0.36,STO-6G,0.4986462646815848
0.36,GTO,0.3501477917149326
0.37,STO,0.49238326418578393
0.37,STO-2G,0.47095368417250894
0.37,STO-3G,0.5007498770890139
0.37,STO-4G,0.49532073082178707
0.37,STO-5G,0.490720847863505
0.37,STO-6G,0.49263008365840966
0.37,GTO,0.34908454683273643
0.38,STO,0.48631541015411367
0.38,STO-2G,0.46761243136938746
0.38,STO-3G,0.4951040605279299
0.38,STO-4G,0.48874687566133135
0.38,STO-5G,0.4846497994233121
0.38,STO-6G,0.486670175429171
0.38,GTO,0.3479955343618471
0.39,STO,0.48032233293804155
0.39,STO-2G,0.4642137605173012
0.39,STO-3G,0.48942932778346787
0.39,STO-4G,0.482252664789828
0.39,STO-5G,0.47869183740454485
0.39,STO-6G,0.48076439350046934
0.39,GTO,0.3468810158698745
0.4,STO,0.4744031110302074
0.4,STO-2G,0.4607598424232333
0.4,STO-3G,0.4837320765603163
0.4,STO-4G,0.475843551332547
0.4,STO-5G,0.47284130274983854
0.4,STO-6G,0.4749114728257954
0.4,GTO,0.34574125846268416
0.41000000000000003,STO,0.46855683427938866
0.41000000000000003,STO-2G,0.4572528649835333
0.41000000000000003,STO-3G,0.478018544955437
0.41000000000000003,STO-4G,0.46952416794346064
0.41000000000000003,STO-5G,0.4670923644566294
0.41000000000000003,STO-6G,0.46911089166039066
0.41000000000000003,GTO,0.3445765346777874
0.42,STO,0.462782603750554
0.42,STO-2G,0.4536950307689026
0.42,STO-3G,0.4722947999770708
0.42,STO-4G,0.4632983584059913
0.42,STO-5G,0.46143915710059735
0.42,STO-6G,0.463362732894758
0.42,GTO,0.343387122375819
0.43,STO,0.4570795315866407
0.43,STO-2G,0.4500885546162896
0.43,STO-3G,0.4665667269662071
0.43,STO-4G,0.45716921334583294
0.43,STO-5G,0.4558758991343124
0.43,STO-6G,0.45766755070479465
0.43,GTO,0.34217330463016105
0.44,STO,0.45144674087203707
0.44,STO-2G,0.44643566123137113
0.44,STO-3G,0.46084001993779056
0.44,STO-4G,0.4511391094496379
0.44,STO-5G,0.4503969921243411
0.44,STO-6G,0.4520262467438335
0.44,GTO,0.3409353696147769
0.45,STO,0.44588336549774477
0.45,STO-2G,0.44273858280523715
0.45,STO-3G,0.4551201728541049
0.45,STO-4G,0.4452097515842201
0.45,STO-5G,0.4449971015094937
0.45,STO-6G,0.4464399586741789
0.45,GTO,0.33967361049031464
0.46,STO,0.4403885500282057
0.46,STO-2G,0.43899955664883583
0.46,STO-3G,0.4494124718380137
0.46,STO-4G,0.4393822172192545
0.46,STO-5G,0.43967121981102175
0.46,STO-6G,0.44090996262490123
0.46,GTO,0.3383883252885452
0.47000000000000003,STO,0.4349614495697673
0.47000000000000003,STO-2G,0.4352208228486548
0.47000000000000003,STO-3G,0.44372198832907217
0.47000000000000003,STO-4G,0.43365700257165357
0.47000000000000003,STO-5G,0.43441471350193117
0.47000000000000003,STO-6G,0.4354375901794054
0.47000000000000003,GTO,0.33707981679519705
0.48,STO,0.42960122964077063
0.48,STO-2G,0.4314046219470438
0.48,STO-3G,0.4380535731809825
0.48,STO-4G,0.42803406991120463
0.48,STO-5G,0.42922335494906527
0.48,STO-6G,0.430024159734866
0.48,GTO,0.33574839243125365
0.49,STO,0.4243070660432388
0.49,STO-2G,0.4275531926504943
0.49,STO-3G,0.4324118516944623
0.49,STO-4G,0.4225128954939322
0.49,STO-5G,0.4240933409820917
0.49,STO-6G,0.424670921518494
0.49,GTO,0.33439436413277707
0.5,STO,0.41907814473614663
0.5,STO-2G,0.42366876956910127
0.5,STO-3G,0.426801219575372
0.5,STO-4G,0.4170925176212539
0.5,STO-5G,0.4190212997234602
0.5,STO-6G,0.4193790151677585
0.5,GTO,0.3330180482293243
0.51,STO,0.41391366171025185
0.51,STO-2G,0.4197535809903379
0.51,STO-3G,0.42122583980389805
0.51,STO-4G,0.411771584358549
0.51,STO-5G,0.414004287339341
0.51,STO-6G,0.41414943855431474
0.51,GTO,0.33161976532102233
0.52,STO,0.4088128228644695
0.52,STO-2G,0.41580984669017035
0.52,STO-3G,0.4156896403967579
0.52,STO-4G,0.406548400485478
0.52,STO-5G,0.40903977635086103
0.52,STO-6G,0.408983026424795
0.52,GTO,0.33019984015436904
0.53,STO,0.40377484388376905
0.53,STO-2G,0.4118397757844323
0.53,STO-3G,0.41019631304078097
0.53,STO-4G,0.40142097329149845
0.53,STO-5G,0.40412563708531263
0.53,STO-6G,0.40388043741744273
0.53,GTO,0.32875860149682606
0.54,STO,0.39879895011857647
0.54,STO-2G,0.40784556462327015
0.54,STO-3G,0.4047493125728412
0.54,STO-4G,0.396387056872779
0.54,STO-5G,0.3992601137561846
0.54,STO-6G,0.39884214806621665
0.54,GTO,0.3272963820102724
0.55,STO,0.39388437646566327
0.55,STO-2G,0.4038293947313516
0.55,STO-3G,0.3993518572779971
0.55,STO-4G,0.3914441946303831
0.55,STO-5G,0.39444179654638745
0.55,STO-6G,0.39386845250148683
0.55,GTO,0.3258135181233863
0.56,STO,0.3890303672505018
0.56,STO-2G,0.3997934307964104
0.56,STO-3G,0.3940069299748312
0.56,STO-4G,0.38658975971351417
0.56,STO-5G,0.3896695909379708
0.56,STO-6G,0.3889594666807918
0.56,GTO,0.3243103499030237
0.5700000000000001,STO,0.3842361761110717
0.5700000000000001,STO-2G,0.395739818708578
0.5700000000000001,STO-3G,0.388717279854383
0.5700000000000001,STO-4G,0.3818209931951434
0.5700000000000001,STO-5G,0.384942685390426
0.5700000000000001,STO-6G,0.38411513612022025
0.5700000000000001,GTO,0.3227872209246619
0.58,STO,0.3795010658830981
0.58,STO-2G,0.3916706836528251
0.58,STO-3G,0.3834854250367534
0.58,STO-4G,0.37713503980992397
0.58,STO-5G,0.38026051832400953
0.58,STO-6G,0.3793352462363566
0.58,GTO,0.3212444781419772
0.59,STO,0.37482430848670323
0.59,STO-2G,0.38758812825670375
0.59,STO-3G,0.37831365580741605
0.59,STO-4G,0.37252898112540017
0.59,STO-5G,0.37562274521930344
0.59,STO-6G,0.37461943454304253
0.59,GTO,0.3196824717556261
0.6,STO,0.37020518481445563
0.6,STO-2G,0.38349423079545386
0.6,STO-3G,0.37320403849350925
0.6,STO-4G,0.3679998660567257
0.6,STO-5G,0.371029206503463
0.6,STO-6G,0.3699672040717594
0.6,GTO,0.318101555081298
0.61,STO,0.3656429846207991
0.61,STO-2G,0.3793910434563942
0.61,STO-3G,0.3681584199389081
0.61,STO-4G,0.36354473867201476
0.61,STO-5G,0.3664798967604862
0.61,STO-6G,0.36537793749655295
0.61,GTO,0.31650208441711064
0.62,STO,0.3611370064128433
0.62,STO-2G,0.37528059066439107
0.62,STO-3G,0.36317843253566895
0.62,STO-4G,0.35916066326976354
0.62,STO-5G,0.3619749356797469
0.62,STO-6G,0.3608509115430225
0.62,GTO,0.31488441891041535
0.63,STO,0.35668655734250143
0.63,STO-2G,0.3711648674700492
0.63,STO-3G,0.35826549976852184
0.63,STO-4G,0.3548447467412542
0.63,STO-5G,0.3575145410456202
0.63,STO-6G,0.35638531134597284
0.63,GTO,0.31324892042408314
0.64,STO,0.3522909530999563
0.64,STO-2G,0.36704583800213825
0.64,STO-3G,0.3534208422284266
0.64,STO-4G,0.35059415825930246
0.64,STO-5G,0.35309900397225014
0.64,STO-6G,0.3519802444926148
0.64,GTO,0.3115959534023402
0.65,STO,0.3479495178084392
0.65,STO-2G,0.36292543398562
0.65,STO-3G,0.3486454840508187
0.65,STO-4G,0.3464061463600331
0.65,STO-5G,0.3487286665018061
0.65,STO-6G,0.3476347545488524
0.65,GTO,0.309925884736222
0.66,STO,0.3436615839203064
0.66,STO-2G,0.3588055533265066
0.66,STO-3G,0.3439402597340369
0.66,STO-4G,0.34227805350648915
0.66,STO-5G,0.3444039016118273
0.66,STO-6G,0.34334783391658874
0.66,GTO,0.3082390836287155
0.67,STO,0.33942649211439513
0.67,STO-2G,0.3546880587646324
0.67,STO-3G,0.33930582129352893
0.67,STO-4G,0.33820732824181604
0.67,STO-5G,0.3401250956170462
0.67,STO-6G,0.33911843591151714
0.67,GTO,0.3065359214596575
0.68,STO,0.33524359119464553
0.68,STO-2G,0.35057477659528535
0.68,STO-3G,0.3347426457077793
0.68,STO-4G,0.3341915350555403
0.68,STO-5G,0.3358926329026163
0.68,STO-6G,0.33494548598490664
0.68,GTO,0.30481677165045895
0.6900000000000001,STO,0.33111223798997097
0.6900000000000001,STO-2G,0.34646749546049893
0.6900000000000001,STO-3G,0.3302510426124624
0.6900000000000001,STO-4G,0.3302283620991894
0.6900000000000001,STO-5G,0.33170688288800465
0.6900000000000001,STO-6G,0.3308278920406631
0.6900000000000001,GTO,0.3030820095287223
0.7000000000000001,STO,0.3270317972553632
0.7000000000000001,STO-2G,0.3423679652106686
0.7000000000000001,STO-3G,0.3258311622001029
0.7000000000000001,STO-4G,0.32631562689728416
0.7000000000000001,STO-5G,0.32756818909281776
0.7000000000000001,STO-6G,0.32676455382154124
0.7000000000000001,GTO,0.3013320121928212
0.71,STO,0.3230016415742157
0.71,STO-2G,0.3382778958370131
0.71,STO-3G,0.3214830032834883
0.71,STO-4G,0.3224512802067577
0.71,STO-5G,0.32347686015634625
0.71,STO-6G,0.32275437135670526
0.71,GTO,0.29956715837650955
0.72,STO,0.31902115126185054
0.72,STO-2G,0.33419895647526865
0.72,STO-3G,0.3172064214822312
0.72,STO-4G,0.31863340818227803
0.72,STO-5G,0.3194331626504284
0.72,STO-6G,0.31879625247765586
0.72,GTO,0.2977878283136268
0.73,STO,0.31508971427023513
0.73,STO-2G,0.33013277448086087
0.73,STO-3G,0.3130011374931902
0.73,STO-4G,0.31486023300700205
0.73,STO-5G,0.3154373155191861
0.73,STO-6G,0.3148891194214922
0.73,GTO,0.2959944036029683
0.74,STO,0.311206726093872
0.74,STO-2G,0.3260809345756716
0.74,STO-3G,0.3088667454069213
0.74,STO-4G,0.3111301121481686
0.74,STO-5G,0.3114894859781558
0.74,STO-6G,0.31103191455003387
0.74,GTO,0.29418726707338405
0.75,STO,0.30737158967684897
0.75,STO-2G,0.32204497806638055
0.75,STO-3G,0.30480272103393075
0.75,STO-4G,0.30744153639489175
0.75,STO-5G,0.3075897867083117
0.75,STO-6G,0.3072236052209219
0.75,GTO,0.29236680264917464
0.76,STO,0.3035837153210344
0.76,STO-2G,0.3180264021342343
0.76,STO-3G,0.3008084302062131
0.76,STO-4G,0.3037931268317671
0.76,STO-5G,0.3037382741865117
0.76,STO-6G,0.30346318785274107
0.76,GTO,0.29053339521584803
0.77,STO,0.2998425205954047
0.77,STO-2G,0.3140266591959684
0.77,STO-3G,0.29688313702137525
0.77,STO-4G,0.3001836308966953
0.77,STO-5G,0.299934948002198
0.77,STO-6G,0.29974969123072487
0.77,GTO,0.28868743048630224
0.78,STO,0.296147430246488
0.78,STO-2G,0.3100471563354835
0.78,STO-3G,0.29302601199855083
0.78,STO-4G,0.2966119176648854
0.78,STO-5G,0.29617975102002925
0.78,STO-6G,0.2960821791029191
0.78,GTO,0.28682929486749814
0.79,STO,0.2924978761099121
0.79,STO-2G,0.3060892548057566
0.79,STO-3G,0.2892361401172809
0.79,STO-4G,0.29307697249355197
0.79,STO-5G,0.29247257025893125
0.79,STO-6G,0.2924597521189507
0.79,GTO,0.28495937532768534
0.8,STO,0.28889329702304284
0.8,STO-2G,0.30215426960034886
0.8,STO-3G,0.28551252871256527
0.8,STO-4G,0.2895778911535786
0.8,STO-5G,0.28881323836933537
0.8,STO-6G,0.2888815491649208
0.8,GTO,0.2830780592642446
0.81,STO,0.285333138738698
0.81,STO-2G,0.2982434690937632
0.81,STO-3G,0.28185411520135534
0.81,STO-4G,0.28611387356558976
0.81,STO-5G,0.2852015356017458
0.81,STO-6G,0.2853467481485219
0.81,GTO,0.2811857343722077
0.8200000000000001,STO,0.28181685383992544
0.8200000000000001,STO-2G,0.2943580747497881
0.8200000000000001,STO-3G,0.27825977461785356
0.8200000000000001,STO-4G,0.2826842172486346
0.8200000000000001,STO-5G,0.2816371921709255
0.8200000000000001,STO-6G,0.2818545662883756
0.8200000000000001,GTO,0.27928278851351634
0.8300000000000001,STO,0.2783439016558317
0.8300000000000001,STO-2G,0.2904992608968642
0.8300000000000001,STO-3G,0.2747283269370874
0.8300000000000001,STO-4G,0.2792883105802233
0.8300000000000001,STO-5G,0.27811989093070516
0.8300000000000001,STO-6G,0.2784042599608891
0.8300000000000001,GTO,0.2773696095870805
0.84,STO,0.27491374817844655
0.84,STO-2G,0.2866681545694052
0.84,STO-3G,0.2712585441683294
0.84,STO-4G,0.27592562595691034
0.84,STO-5G,0.27464927028453245
0.84,STO-6G,0.2749951241567129
0.84,GTO,0.27544658539969524
0.85,STO,0.27152586598061296
0.85,STO-2G,0.28286583541390953
0.85,STO-3G,0.2678491572020232
0.85,STO-4G,0.2725957129351371
0.85,STO-5G,0.27122492726628855
0.85,STO-6G,0.27162649159723035
0.85,GTO,0.2735141035378746
0.86,STO,0.26817973413488966
0.86,STO-2G,0.27909333565860434
0.86,STO-3G,0.2644988623959361
0.86,STO-4G,0.2692981914227511
0.86,STO-5G,0.26784642073454945
0.86,STO-6G,0.26829773155948355
0.86,GTO,0.27157255124066043
0.87,STO,0.2648748381334516
0.87,STO-2G,0.2753516401452777
0.87,STO-3G,0.26120632788828657
0.87,STO-4G,0.2660327449825959
0.87,STO-5G,0.2645132746313389
0.87,STO-6G,0.26500824845561466
0.87,GTO,0.2696223152734625
0.88,STO,0.2616106698089781
0.88,STO-2G,0.27164168642186926
0.88,STO-3G,0.2579701996275702
0.88,STO-4G,0.2627991143009287
0.88,STO-5G,0.26122498126351296
0.88,STO-6G,0.26175748021032613
0.88,GTO,0.267663781802985
0.89,STO,0.2583867272565168
0.89,STO-2G,0.26796436489431197
0.89,STO-3G,0.25478910711073155
0.89,STO-4G,0.2595970908652122
0.89,STO-5G,0.2579810045712551
0.89,STO-6G,0.2585448964771026
0.89,GTO,0.2656973362732951
0.9,STO,0.25520251475630884
0.9,STO-2G,0.26432051903604525
0.9,STO-3G,0.2516616688231864
0.9,STO-4G,0.25642651088812046
0.9,STO-5G,0.2547807833537977
0.9,STO-6G,0.2553699967310417
0.9,GTO,0.2637233632830867
0.91,STO,0.25205754269756686
0.91,STO-2G,0.26071094565354613
0.91,STO-3G,0.24858649737598085
0.91,STO-4G,0.253287249507422
0.91,STO-5G,0.2516237344274553
0.91,STO-6G,0.25223230827315385
0.91,GTO,0.26174224646419064
0.92,STO,0.24895132750319085
0.92,STO-2G,0.2571363952061683
0.92,STO-3G,0.24556220433708478
0.92,STO-4G,0.2501792152847899
0.92,STO-5G,0.24850925569542553
0.92,STO-6G,0.2491313841779624
0.92,GTO,0.259754368361385
0.93,STO,0.24588339155541275
0.93,STO-2G,0.25359757217851375
0.93,STO-3G,0.24258740475543428
0.93,STO-4G,0.24710234502055228
0.93,STO-5G,0.24543672911263545
0.93,STO-6G,0.2460668012132017
0.93,GTO,0.2577601103135534
0.9400000000000001,STO,0.24285326312235672
0.9400000000000001,STO-2G,0.250095135503511
0.9400000000000001,STO-3G,0.23966072137787456
0.9400000000000001,STO-4G,0.24405659889593953
0.9400000000000001,STO-5G,0.24240552353223804
0.9400000000000001,STO-6G,0.24303815775740667
0.9400000000000001,GTO,0.2557598523362421
0.9500000000000001,STO,0.23986047628550503
0.9500000000000001,STO-2G,0.24662969903432508
0.9500000000000001,STO-3G,0.23678078856059223
0.9500000000000001,STO-4G,0.24104195594950753
0.9500000000000001,STO-5G,0.23941499742326278
0.9500000000000001,STO-6G,0.2400450717382435
0.9500000000000001,GTO,0.2537539730056624
0.96,STO,0.2369045708680573
0.96,STO-2G,0.24320183206318027
0.96,STO-3G,0.23394625587797113
0.96,STO-4G,0.23805840989010124
0.96,STO-5G,0.23646450145142983
0.96,STO-6G,0.23708717861157708
0.96,GTO,0.25174284934418595
0.97,STO,0.23398509236417286
0.97,STO-2G,0.2398120598851366
0.97,STO-3G,0.23115579143305276
0.97,STO-4G,0.2351059652449519
0.97,STO-5G,0.23355338091731165
0.97,STO-6G,0.234164129398526
0.97,GTO,0.24972685670737854
0.98,STO,0.23110159186908497
0.98,STO-2G,0.23646086440483058
0.98,STO-3G,0.2284080848749268
0.98,STO-4G,0.23218463383825422
0.98,STO-5G,0.23068097804790108
0.98,STO-6G,0.23127558879513965
0.98,GTO,0.24770636867261503
0.99,STO,0.22825362601007654
0.99,STO-2G,0.23314868478415862
0.99,STO-3G,0.22570185012942623
0.99,STO-4G,0.22929443159281007
0.99,STO-5G,0.2278466341392647
0.99,STO-6G,0.2284212333668619
0.99,GTO,0.24568175692932037
1,STO,0.225440756878306
1,STO-2G,0.22987591812885985
1,STO-3G,0.223035827850446
1,STO-4G,0.2264353756450298
1,STO-5G,0.22504969154935744
1,STO-6G,0.2256007498376273
1,GTO,0.24365339117087703
1.01,STO,0.22266255196147383
1.01,STO-2G,0.226642920211935
1.01,STO-3G,0.2204087876000518
1.01,STO-4G,0.22360748176170606
1.01,STO-5G,0.22228949554127403
1.01,STO-6G,0.22281383348128772
1.01,GTO,0.2416216389882395
1.02,STO,0.21991858407731835
1.02,STO-2G,0.22345000623182384
1.02,STO-3G,0.21781952976629504
1.02,STO-4G,0.2208107620454955
1.02,STO-5G,0.21956539597824828
1.02,STO-6G,0.2200601866210808
1.02,GTO,0.23958686576529475
1.03,STO,0.2172084313079316
1.03,STO-2G,0.2202974516032557
1.03,STO-3G,0.21526688722830084
1.03,STO-4G,0.21804522291491188
1.03,STO-5G,0.21687674887259437
1.03,STO-6G,0.21733951724104286
1.03,GTO,0.23754943457600702
1.04,STO,0.2145316769348843
1.04,STO-2G,0.21718549277867877
1.04,STO-3G,0.2127497267787573
1.04,STO-4G,0.21531086334382166
1.04,STO-5G,0.21422291779154282
1.04,STO-6G,0.2146515377116295
1.04,GTO,0.2355097060833819
1.05,STO,0.21188790937515029
1.05,STO-2G,0.21411432809817796
1.05,STO-3G,0.21026695031440026
1.05,STO-4G,0.2126076733449038
1.05,STO-5G,0.21160327512356802
1.05,STO-6G,0.21199596363033782
1.05,GTO,0.23346803844028632
1.06,STO,0.20927672211782086
1.06,STO-2G,0.21108411866579163
1.06,STO-3G,0.2078174958054677
1.06,STO-4G,0.2099356326812515
1.06,STO-5G,0.20901720320934802
1.06,STO-6G,0.20937251277682156
1.06,GTO,0.23142478719215648
1.07,STO,0.20669771366159878
