radius,type,value
0,STO,0.779036114974963
0,STO-2G,0.5376617997044432
0,STO-3G,0.6282468778403578
0,STO-4G,0.680197927594044
0,STO-5G,0.711820921787423
0,STO-6G,0.7319944863229355
0,GTO,0.36957240951430304
0.01,STO,0.7694357126564877
0.01,STO-2G,0.5376088604670508
0.01,STO-3G,0.6281339173201189
0.01,STO-4G,0.6799985272471254
0.01,STO-5G,0.7115022804664748
0.01,STO-6G,0.7315155004216188
0.01,GTO,0.36955701344842495
0.02,STO,0.7599536202891238
0.02,STO-2G,0.5374500819066245
0.02,STO-3G,0.6277952369913143
0.02,STO-4G,0.679401103430337
0.02,STO-5G,0.7105489136994704
0.02,STO-6G,0.7300861022996368
0.02,GTO,0.36951082909900423
0.03,STO,0.7505883798876672
0.03,STO-2G,0.5371855814277184
0.03,STO-3G,0.6272314398788181
0.03,STO-4G,0.6784079818144387
0.03,STO-5G,0.7089684506056627
0.03,STO-6G,0.727728715820876
0.03,GTO,0.36943386800907874
0.04,STO,0.7413385514343025
0.04,STO-2G,0.5368155545356932
0.04,STO-3G,0.6264435287910751
0.04,STO-4G,0.6770230185803896
0.04,STO-5G,0.7067734658443838
0.04,STO-6G,0.7244798769505281
0.04,GTO,0.369326149411702
0.05,STO,0.7322027126571828
0.05,STO-2G,0.5363402745836916
0.05,STO-3G,0.625432902981761
0.05,STO-4G,0.6752515707467911
0.05,STO-5G,0.7039812723492884
0.05,STO-6G,0.7203890208851442
0.05,GTO,0.36918770022193315
0.06,STO,0.7231794588117385
0.06,STO-2G,0.5357600924190572
0.06,STO-3G,0.6242013534983879
0.06,STO-4G,0.6731004550906879
0.06,STO-5G,0.7006136381299808
0.06,STO-6G,0.7155168669459548
0.06,GTO,0.3690185550256283
0.07,STO,0.7142674024646808
0.07,STO-2G,0.5350754359298354
0.07,STO-3G,0.6227510572399719
0.07,STO-4G,0.6705778961161205
0.07,STO-5G,0.6966964338552395
0.07,STO-6G,0.7099334778939509
0.07,GTO,0.3688187560650416
0.08,STO,0.7054651732806672
0.08,STO-2G,0.5342868094921897
0.08,STO-3G,0.6210845697519696
0.08,STO-4G,0.6676934636434343
0.08,STO-5G,0.6922592194907582
0.08,STO-6G,0.7037160838330355
0.08,GTO,0.36858835322124284
0.09,STO,0.6967714178115965
0.09,STO-2G,0.5333947933197385
0.09,STO-3G,0.6192048167925955
0.09,STO-4G,0.6644580007027824
0.09,STO-5G,0.6873347795720667
0.09,STO-6G,0.6969467689680764
0.09,GTO,0.3683274039933627
0.1,STO,0.6881847992884992
0.1,STO-2G,0.5324000427160006
0.1,STO-3G,0.6171150847103456
0.1,STO-4G,0.6608835425160404
0.1,STO-5G,0.6819586177141157
0.1,STO-6G,0.6897101218642474
0.1,GTO,0.36803597347467815
0.11,STO,0.6797039974159942
0.11,STO-2G,0.5313032872313079
0.11,STO-3G,0.614819009678005
0.11,STO-4G,0.6569832274411007
0.11,STO-5G,0.6761684216674755
0.11,STO-6G,0.6820909466044778
0.11,GTO,0.36771413432555056
0.12,STO,0.6713277081692767
0.12,STO-2G,0.5301053297257196
0.12,STO-3G,0.6123205658336137
0.12,STO-4G,0.6527712008300858
0.12,STO-5G,0.6700035106129466
0.12,STO-6G,0.6741721238367743
0.12,GTO,0.3673619667432335
0.13,STO,0.6630546435936092
0.13,STO-2G,0.5288070453396381
0.13,STO-3G,0.6096240523837393
0.13,STO-4G,0.6482625128174702
0.13,STO-5G,0.663504276438944
0.13,STO-6G,0.6660326979440123
0.13,GTO,0.3669795584285675
0.14,STO,0.6548835316062832
